index,Question,Segment Type,Segment Description,Answer,Count,Percentage,Count_log,Facebook,Instagram,Snapchat,Twitter,nan,Count_standardized,Percentage_standardized
2,What social platform has influenced your online shopping most?,Mobile,Global results,Snapchat,86,0.032,4.465908118654584,0.0,0.0,1.0,0.0,0.0,1.2392694397220165,-0.5897509125548881
3,What social platform has influenced your online shopping most?,Mobile,Global results,Twitter,179,0.067,5.19295685089021,0.0,0.0,0.0,1.0,0.0,3.050754687779787,-0.46364911782359713
5,What social platform has influenced your online shopping most?,Web,Web,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
6,What social platform has influenced your online shopping most?,Web,Web,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
7,What social platform has influenced your online shopping most?,Web,Web,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
8,What social platform has influenced your online shopping most?,Web,Web,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
9,What social platform has influenced your online shopping most?,Web,Web,nan,2,1.0,1.0986122886681098,0.0,0.0,0.0,0.0,1.0,-0.3969107843301633,2.8978644388705295
10,What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,0.199,5.407171771460119,1.0,0.0,0.0,0.0,0.0,3.8883231358064982,0.011934793734414351
12,What social platform has influenced your online shopping most?,Gender,Female voters,Snapchat,29,0.026,3.4011973816621555,0.0,0.0,1.0,0.0,0.0,0.12900428768660882,-0.6113683630802522
13,What social platform has influenced your online shopping most?,Gender,Female voters,Twitter,57,0.051,4.060443010546419,0.0,0.0,0.0,1.0,0.0,0.674397695704002,-0.5212956525579016
14,What social platform has influenced your online shopping most?,Gender,Female voters,nan,271,0.243,5.605802066295998,0.0,0.0,0.0,0.0,1.0,4.842761599836936,0.17046276425375145
17,What social platform has influenced your online shopping most?,Gender,Male voters,Snapchat,56,0.036,4.04305126783455,0.0,0.0,1.0,0.0,0.0,0.6549193597033808,-0.575339278871312
18,What social platform has influenced your online shopping most?,Gender,Male voters,Twitter,122,0.078,4.812184355372417,0.0,0.0,0.0,1.0,0.0,1.9404895357443792,-0.4240171251937629
20,What social platform has influenced your online shopping most?,University,University of Delaware,Facebook,1,0.333,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,0.4947245221342139
21,What social platform has influenced your online shopping most?,University,University of Delaware,Instagram,1,0.333,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,-0.41638912033078446,0.4947245221342139
22,What social platform has influenced your online shopping most?,University,University of Delaware,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
23,What social platform has influenced your online shopping most?,University,University of Delaware,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
